category,service,unit,price_r13_r14,price_r15_r16,price_r17_r18,price_r19_plus,note
Шиномонтаж,Зняття та встановлення колеса,1 колесо,100,120,150,200,
Шиномонтаж,Демонтаж та монтаж шини на диск,1 колесо,150,180,220,280,
Шиномонтаж,Балансування колеса,1 колесо,100,120,150,200,
Шиномонтаж,Комплексний шиномонтаж (4 колеса),комплект,900,1100,1350,1700,Знімання+монтаж+балансування
Ремонт,Ремонт проколу (джгут),1 прокол,100,100,120,150,
Ремонт,Ремонт проколу (латка),1 прокол,150,170,200,250,
Ремонт,Ремонт бокового порізу,1 шина,250,300,350,450,Складність оцінюється на місці
Додатково,Перебортування шини,1 колесо,120,140,170,220,
Додатково,Встановлення датчика тиску (без сенсора),1 колесо,80,80,100,120,
Додатково,Утилізація старої шини,1 шина,40,50,60,80,
Сезонна заміна,Сезонна заміна шин (без балансування),комплект,400,480,600,800,
Сезонна заміна,Сезонна заміна шин (з балансуванням),комплект,700,850,1050,1350,
Мийка,Мийка коліс,комплект,150,150,200,200,
Мийка,Чорніння гуми (чорнитель),комплект,120,120,150,150,
