group,brand,model,width,profile,diameter,season,studded,load_index,speed_index,year,country,price,currency,in_stock,image_url,note
Легкові,Nokian,Hakka Green 3,195,65,15,Літо,Ні,91,V,2024,Фінляндія,2450,UAH,так,,
Легкові,Nokian,Hakkapeliitta 10,205,55,16,Зима,Так,94,T,2023,Фінляндія,3890,UAH,так,,Шипована
Легкові,Pirelli,Cinturato P1,185,60,14,Літо,Ні,82,H,2024,Італія,1980,UAH,так,,
Легкові,Pirelli,Scorpion Winter,215,60,17,Зима,Ні,96,H,2023,Італія,4650,UAH,так,,Нешипована
Легкові,Matador,MP47 Hectorra 3,195,50,15,Літо,Ні,86,V,2024,Словаччина,2150,UAH,так,,
Легкові,Matador,MP93 Nordicca,205,55,16,Зима,Так,91,T,2022,Словаччина,3290,UAH,ні,,Під замовлення
Легкові,Goodyear,EfficientGrip Performance,205,55,16,Літо,Ні,91,V,2024,Німеччина,3450,UAH,так,,
Легкові,Dunlop,SP Sport FastResponse,195,65,15,Літо,Ні,91,H,2023,Японія,2380,UAH,так,,
Легкові,Kumho,Solus TA31,215,60,16,Літо,Ні,95,H,2024,Південна Корея,2790,UAH,так,,
Легкові,Kumho,WinterCraft WP52,225,50,17,Зима,Ні,94,H,2023,Південна Корея,3990,UAH,так,,
Легкові,Laufenn,S Fit EQ,205,60,16,Літо,Ні,92,V,2024,Індонезія,2290,UAH,так,,
Легкові,Hankook,Kinergy Eco2,185,65,15,Літо,Ні,88,T,2023,Південна Корея,2050,UAH,так,,
Кросовер,Hankook,Dynapro HP2,225,60,17,Літо,Ні,99,H,2024,Південна Корея,3650,UAH,так,,
Кросовер,Michelin,Primacy 4,215,55,17,Літо,Ні,94,V,2024,Франція,4890,UAH,так,,
Кросовер,Michelin,Latitude X-Ice,235,55,18,Зима,Так,100,T,2022,Франція,6290,UAH,ні,,Під замовлення
Легкові,Austone,Athena SP-802,225,50,17,Літо,Ні,94,V,2023,Китай,2690,UAH,так,,
Легкові,Doublestar,DH03,225,50,17,Літо,Ні,98,W,2023,Китай,2590,UAH,так,,
Легкові,Nokian,Hakka Blue 3,195,55,16,Літо,Ні,91,V,2024,Фінляндія,2590,UAH,так,,
