group,brand,model,diameter,width,pcd,et,dia,type,color,price,currency,in_stock,image_url,note
Легкові,Alutec,Grip,15,6,4x100,45,54.1,Литі,Срібло,2350,UAH,так,,
Легкові,Alutec,Ikenu,16,6.5,5x114.3,45,67.1,Литі,Чорний глянець,2890,UAH,так,,
Легкові,Replica,VW A-R159,15,6,5x100,43,57.1,Литі,Срібло,2190,UAH,так,,
Легкові,Replica,Toyota TY-R76,16,6.5,5x114.3,45,60.1,Литі,Графіт,2650,UAH,так,,
Кросовер,Replica,BMW B-R124,17,7.5,5x120,35,72.6,Литі,Чорний,3450,UAH,так,,
Легкові,СКАД,Веста,15,6,4x98,38,58.6,Литі,Селена,2050,UAH,так,,
Легкові,СКАД,Атлант,16,6.5,5x112,42,57.1,Литі,Алмаз чорний,2790,UAH,так,,
Легкові,ЗАЗ,Штамп 15,15,6,4x100,40,54.1,Штамповані,Сірий,990,UAH,так,,
Легкові,ЗАЗ,Штамп 16,16,6.5,5x114.3,45,67.1,Штамповані,Сірий,1150,UAH,так,,
Легкові,Jantsa,Standard R14,14,5.5,4x98,35,58.6,Штамповані,Чорний,890,UAH,так,,
Кросовер,OZ,Superturismo,18,8,5x120,34,72.6,Ковані,Матовий чорний,7890,UAH,ні,,Під замовлення
Легкові,Vossen,CV-Series,17,7.5,5x114.3,40,73.1,Ковані,Глянець чорний,8990,UAH,ні,,Під замовлення
Легкові,Alutec,Singa,16,6.5,4x108,35,63.4,Литі,Срібло,2750,UAH,так,,
Легкові,Replica,Renault RN-R100,15,6,4x100,43,60.1,Литі,Чорний,2290,UAH,так,,
Кросовер,СКАД,Каньон,17,7,5x114.3,45,60.1,Литі,Алмаз чорний,3690,UAH,так,,
Легкові,Alutec,Freeze,14,5.5,4x100,38,60.1,Литі,Полярно-срібний,2050,UAH,так,,
